Methane_ppm,CO2_ppm,NH3_ppm,H2S_ppm,Temperature_C,Humidity_percent,Garbage_Present,Risk_Level
42.51,468.33,28.46,6.65,31.14,75.09,Yes,Medium
36.54,459.07,26.85,14.71,34.24,58.75,Yes,Medium
40.31,377.99,23.98,6.65,25.25,57.54,No,Medium
18.07,406.36,8.06,16.85,30.46,67.36,No,High
11.2,362.82,18.42,15.16,20.95,32.48,No,High
71.89,252.24,2.23,5.1,37.66,43.28,Yes,High
23.06,425.76,24.11,2.44,23.2,48.03,No,Medium
20.17,589.22,14.26,7.74,27.43,53.18,No,Low
0.0,311.63,10.91,13.77,36.69,46.8,No,Low
27.22,322.7,2.76,5.55,28.83,64.99,No,Low
13.54,312.93,0.0,12.54,24.01,61.22,No,Low
72.84,472.46,4.61,14.04,33.57,80.89,Yes,High
60.2,444.85,26.13,4.13,33.45,97.11,Yes,Medium
26.24,384.15,10.97,4.62,26.83,41.06,No,Low
85.05,308.2,13.31,11.56,27.38,62.21,Yes,High
59.64,409.24,21.56,8.76,27.82,62.18,Yes,Medium
33.5,250.0,33.06,4.57,28.96,59.79,Yes,Medium
0.0,414.34,28.25,6.24,20.54,43.73,Yes,Medium
85.82,487.15,5.28,7.65,29.09,46.24,Yes,High
12.21,274.88,0.0,0.18,38.92,63.61,No,Low
7.09,250.0,38.6,11.83,25.52,45.82,Yes,High
60.45,557.94,37.69,5.61,27.08,62.39,Yes,High
88.8,338.82,16.88,0.0,24.08,56.31,Yes,High
67.69,513.59,2.3,7.88,33.06,62.12,Yes,Medium
51.28,384.6,24.63,4.29,36.02,45.7,Yes,Medium
51.9,383.8,13.92,16.44,35.9,62.36,Yes,High
57.07,443.84,13.87,5.07,23.76,46.79,Yes,Medium
55.18,311.6,23.94,2.51,32.5,62.41,Yes,Medium
45.62,413.25,18.34,10.54,37.17,80.09,No,Medium
42.08,361.85,3.14,4.7,32.55,63.91,No,Medium
38.75,267.95,11.75,4.1,32.39,64.83,No,Low
24.92,433.75,21.61,10.55,27.64,72.26,No,Medium
34.39,373.67,20.1,2.8,31.1,38.95,No,Medium
6.14,384.3,17.62,0.71,36.18,85.78,No,Low
38.03,278.98,24.33,16.63,31.64,44.17,No,High
20.23,559.14,11.38,10.9,23.76,73.19,No,Low
17.93,487.67,16.79,6.68,27.72,71.2,No,Low
43.6,496.42,0.0,7.98,36.05,46.47,No,Medium
67.84,369.46,10.5,10.53,31.62,75.13,Yes,Medium
58.37,250.0,22.64,12.87,30.6,67.47,Yes,Medium
8.59,595.29,11.1,4.22,27.23,88.35,No,Low
20.21,393.89,10.34,9.83,35.94,62.9,No,Low
58.82,325.12,4.59,5.47,38.31,58.37,Yes,Medium
20.35,441.68,25.03,7.06,36.32,52.28,Yes,Medium
35.51,516.71,20.48,8.8,37.21,33.85,No,Medium
51.0,397.69,23.25,7.97,28.21,55.23,Yes,Medium
20.63,527.86,0.0,11.68,27.5,55.86,No,Low
42.11,508.3,13.4,10.44,29.22,63.93,No,Medium
13.32,292.36,12.2,0.46,30.19,38.65,No,Low
27.97,332.62,12.19,1.21,37.16,56.41,No,Low
46.4,495.75,8.84,6.15,35.83,68.64,No,Medium
8.14,250.0,11.54,17.14,32.69,70.13,No,High
48.81,385.05,23.5,3.74,22.84,32.1,No,Medium
39.61,256.92,0.0,6.96,21.56,70.6,No,Low
51.05,352.34,32.77,5.32,31.2,56.3,Yes,Medium
44.48,370.12,19.84,5.23,34.4,57.22,No,Medium
67.28,364.18,14.58,8.89,29.6,24.53,Yes,Medium
42.5,344.77,24.07,15.0,39.57,82.4,No,High
31.41,290.29,0.48,10.28,24.59,62.65,No,Low
42.45,629.19,8.35,3.98,23.96,37.03,No,Medium
50.87,586.75,13.79,21.77,26.68,65.63,Yes,High
40.98,283.79,28.66,8.39,26.49,65.17,Yes,Medium
40.81,558.21,14.54,5.11,32.63,78.34,No,Medium
25.96,360.05,19.5,15.06,27.89,55.35,No,High
26.74,412.92,9.1,5.65,22.26,60.18,No,Low
11.95,393.67,19.87,16.31,34.46,50.36,No,High
74.99,334.03,31.77,3.65,21.2,68.97,Yes,High
15.12,498.39,24.96,15.15,24.64,48.25,No,High
26.14,412.59,14.19,9.01,21.89,46.61,No,Low
25.63,352.34,21.75,14.46,31.04,58.98,No,Medium
57.9,269.54,20.78,17.51,30.93,41.61,Yes,High
34.1,310.64,20.07,2.34,39.58,84.03,No,Medium
64.95,250.0,26.12,14.38,34.57,88.91,Yes,Medium
26.53,401.22,26.04,0.96,37.21,53.2,Yes,Medium
45.58,280.33,13.73,2.76,31.44,39.2,No,Medium
23.29,373.44,21.42,3.98,25.12,65.05,No,Medium
82.9,537.01,11.17,10.52,30.64,52.77,Yes,High
16.25,519.93,5.77,8.17,32.96,77.62,No,Low
46.2,396.77,12.31,7.16,33.52,48.19,No,Medium
52.68,391.29,14.24,8.73,27.64,68.17,Yes,Medium
48.28,587.99,0.0,10.96,32.44,61.71,No,Medium
36.29,452.08,23.6,11.34,25.33,49.86,No,Medium
37.4,367.22,0.0,13.47,24.78,63.6,No,Low
40.88,257.4,42.15,17.1,24.42,73.18,Yes,High
37.06,439.39,30.02,7.89,30.12,61.3,Yes,Medium
59.28,482.93,12.39,5.39,24.11,61.46,Yes,Medium
84.21,336.83,15.09,11.07,27.88,46.91,Yes,High
28.85,429.12,18.03,2.28,34.51,77.16,No,Low
12.6,363.64,9.11,4.61,24.85,75.67,No,Low
38.23,381.6,16.93,13.0,27.48,53.84,No,Low
91.59,250.0,13.56,7.38,30.36,58.14,Yes,High
23.93,377.82,14.06,1.96,31.23,81.21,No,Low
72.78,496.94,16.81,0.55,27.5,43.0,Yes,High
73.55,336.86,1.86,8.24,33.93,69.06,Yes,High
28.93,405.25,15.4,13.71,32.95,51.62,No,Low
51.38,324.4,16.63,13.64,35.7,86.67,Yes,Medium
72.57,436.04,16.29,8.55,29.59,60.95,Yes,High
32.42,378.35,12.84,18.04,27.44,78.91,No,High
35.93,306.08,26.38,7.48,26.59,48.58,Yes,Medium
28.37,533.26,11.46,7.31,31.54,41.27,No,Low
19.7,492.89,17.27,0.0,28.11,56.49,No,Low
27.01,339.51,27.97,5.76,27.15,63.94,Yes,Medium
15.52,449.78,14.21,12.26,27.76,52.34,No,Low
40.68,453.74,17.14,15.82,26.58,71.37,No,High
24.6,464.23,14.04,3.85,31.0,56.85,No,Low
44.68,250.0,27.37,10.31,22.94,28.78,Yes,Medium
8.88,500.66,12.42,13.23,31.52,68.29,No,Low
46.62,343.03,27.83,8.06,33.38,46.76,Yes,Medium
56.67,364.22,13.96,0.0,27.1,54.58,Yes,Medium
0.13,663.79,6.41,9.24,39.61,83.3,No,Low
47.48,430.19,21.79,11.81,30.09,86.59,No,Medium
64.55,361.37,11.95,3.26,22.19,51.37,Yes,Medium
15.81,250.0,21.21,6.73,28.59,68.67,No,Medium
73.45,538.98,0.0,2.22,30.31,51.72,Yes,High
48.38,265.48,15.05,0.0,32.24,55.7,No,Medium
25.9,299.66,10.4,13.14,28.71,50.91,No,Low
38.88,366.86,4.37,7.98,24.94,34.13,No,Low
51.17,541.64,9.47,15.99,24.53,61.43,Yes,High
41.52,477.32,9.26,12.29,26.73,64.32,No,Medium
50.78,384.22,14.52,6.23,27.21,49.93,Yes,Medium
21.59,430.83,1.33,7.58,24.33,76.32,No,Low
43.39,339.96,18.16,10.83,26.34,53.46,No,Medium
11.73,413.97,28.66,12.83,33.3,50.44,Yes,Medium
37.78,407.33,17.81,9.61,38.24,67.9,No,Low
21.92,496.88,23.09,13.53,33.78,36.86,No,Medium
25.29,496.72,25.95,6.52,36.53,73.6,Yes,Medium
64.72,449.4,27.36,3.01,34.87,53.97,Yes,Medium
61.83,363.77,33.7,7.68,34.17,74.84,Yes,Medium
52.18,474.18,10.01,9.03,28.31,79.32,Yes,Medium
18.15,390.8,7.82,1.99,30.7,69.6,No,Low
33.67,291.81,22.83,1.32,27.9,47.82,No,Medium
64.26,359.67,22.08,10.24,28.9,41.24,Yes,Medium
42.83,408.45,22.76,5.97,30.34,38.49,No,Medium
86.39,491.02,33.89,7.17,33.57,76.54,Yes,High
47.87,381.65,15.11,6.2,32.12,57.98,No,Medium
43.84,279.08,19.26,15.6,29.19,51.01,No,High
33.82,405.67,5.2,14.31,30.28,58.02,No,Low
42.67,411.35,36.35,1.81,32.17,76.21,Yes,High
36.95,418.58,11.63,5.34,33.34,71.68,No,Low
54.16,491.99,11.92,12.25,22.41,66.58,Yes,Medium
59.13,501.89,11.53,11.01,24.61,69.57,Yes,Medium
24.28,340.58,8.55,7.79,35.54,62.7,No,Low
13.38,338.39,7.71,2.31,29.7,64.53,No,Low
3.28,295.98,9.76,4.59,27.88,63.32,No,Low
50.16,469.88,1.34,5.42,28.68,60.0,Yes,Medium
17.93,544.88,7.15,9.38,28.68,71.3,No,Low
0.0,368.49,34.49,16.52,32.79,65.42,Yes,High
47.77,375.86,22.36,4.57,24.46,46.79,No,Medium
89.86,546.68,24.26,2.87,30.12,67.93,Yes,High
39.88,450.56,26.77,7.46,31.23,63.71,Yes,Medium
56.77,443.62,33.34,13.16,31.98,69.17,Yes,Medium
41.64,280.91,0.0,0.77,31.11,58.44,No,Medium
38.02,467.87,2.7,15.27,32.58,72.18,No,High
58.38,307.09,6.96,7.14,27.14,59.08,Yes,Medium
34.19,286.6,10.3,4.33,25.29,70.86,No,Low
45.35,365.32,11.99,0.0,42.29,53.15,No,Medium
46.43,341.42,10.53,11.53,28.49,54.19,No,Medium
26.64,377.84,17.19,7.14,29.08,69.03,No,Low
59.84,255.9,15.35,8.85,33.39,55.02,Yes,Medium
36.5,495.88,7.77,3.5,37.98,93.09,No,Low
24.89,512.77,0.0,6.4,27.28,68.5,No,Low
50.73,250.0,5.07,5.57,25.01,60.37,Yes,Medium
22.03,497.85,9.51,7.5,23.79,72.3,No,Low
40.56,318.95,12.53,4.65,37.97,52.79,No,Medium
39.82,485.7,3.7,0.33,24.81,73.85,No,Low
61.72,393.16,10.09,21.64,29.86,73.43,Yes,High
49.49,402.88,3.69,1.18,25.11,78.8,No,Medium
39.5,381.49,13.74,8.91,22.76,53.39,No,Low
56.36,521.21,4.27,0.0,28.54,41.66,Yes,Medium
67.8,276.04,6.51,0.0,25.31,50.85,Yes,Medium
51.16,460.78,1.91,8.49,26.54,55.78,Yes,Medium
40.21,510.13,13.46,8.87,40.03,85.01,No,Medium
13.76,471.63,6.34,14.31,32.12,92.93,No,Low
18.7,632.47,24.07,10.0,34.66,65.17,No,Medium
33.9,347.11,19.06,7.25,34.12,60.14,No,Low
27.81,495.73,14.3,3.25,29.5,54.75,No,Low
36.26,389.39,7.03,15.5,27.8,72.37,No,High
41.13,523.34,18.81,12.64,31.24,92.83,No,Medium
50.59,399.23,21.91,1.77,30.84,86.79,Yes,Medium
38.59,361.21,16.43,8.19,27.16,77.07,No,Low
49.73,530.61,31.04,8.72,30.65,76.85,Yes,Medium
41.29,350.84,19.6,6.27,26.47,72.48,No,Medium
0.49,258.73,24.14,11.86,29.14,59.29,No,Medium
21.21,348.32,16.34,12.16,28.32,48.95,No,Low
37.12,461.9,21.76,7.05,23.66,59.69,No,Medium
15.81,539.2,7.03,6.6,18.24,66.34,No,Low
52.0,411.11,10.42,15.49,25.3,38.2,Yes,High
70.62,531.82,18.49,12.66,39.02,57.71,Yes,High
64.38,264.18,18.42,8.36,28.45,47.61,Yes,Medium
35.73,355.67,20.08,0.0,33.88,75.21,No,Medium
69.81,371.14,26.0,9.72,19.38,51.75,Yes,Medium
42.97,388.54,0.75,11.49,24.96,64.92,No,Medium
33.26,408.41,5.26,0.0,23.23,49.5,No,Low
27.73,469.09,17.3,9.26,28.99,83.97,No,Low
33.95,355.52,7.76,5.92,42.11,34.49,No,Low
32.24,413.9,48.78,6.9,32.3,67.14,Yes,High
43.41,395.49,20.16,3.46,38.48,40.84,No,Medium
43.21,307.41,14.22,7.26,28.73,52.36,No,Medium
40.06,388.63,9.85,14.96,36.82,63.09,No,Medium
48.74,385.63,10.2,5.77,40.37,63.83,No,Medium
63.81,383.49,15.3,12.83,29.45,63.44,Yes,Medium
58.99,403.18,16.12,3.97,27.3,62.28,Yes,Medium
10.3,407.57,10.43,11.79,23.41,50.37,No,Low
0.0,356.77,12.27,8.01,28.45,57.54,No,Low
58.69,527.27,28.44,9.76,30.41,60.47,Yes,Medium
12.66,283.05,28.85,8.04,40.15,62.93,Yes,Medium
35.5,327.9,17.52,11.21,23.53,59.01,No,Low
16.6,678.0,1.59,0.0,30.3,70.94,No,Low
3.96,296.2,20.39,0.9,20.93,61.4,No,Medium
50.83,264.62,30.54,10.09,27.87,63.02,Yes,Medium
55.18,473.45,28.7,0.0,31.56,54.26,Yes,Medium
28.47,250.0,22.34,5.35,32.56,44.21,No,Medium
0.0,376.47,29.22,7.73,32.95,62.31,Yes,Medium
29.08,614.58,15.53,3.86,31.99,78.11,No,Low
47.84,250.0,21.28,4.54,32.9,66.66,No,Medium
10.42,250.0,8.19,9.36,30.23,47.74,No,Low
43.67,250.08,17.92,13.05,24.76,72.22,No,Medium
39.69,489.84,28.3,3.21,20.74,54.97,Yes,Medium
51.59,512.48,9.11,5.12,27.27,70.72,Yes,Medium
42.39,348.74,6.39,4.34,29.33,54.47,No,Medium
20.54,468.32,15.97,0.0,36.27,65.3,No,Low
63.93,539.03,12.73,8.71,29.5,52.22,Yes,Medium
36.83,578.73,21.49,12.67,29.02,52.6,No,Medium
39.45,375.37,10.47,13.08,31.93,36.51,No,Low
21.33,250.0,32.18,3.65,28.65,67.68,Yes,Medium
31.13,317.91,2.1,1.74,34.05,65.55,No,Low
22.3,357.32,27.54,8.11,39.9,66.4,Yes,Medium
36.54,374.11,7.35,12.15,40.95,64.13,No,Low
74.23,381.21,0.0,8.77,30.49,48.57,Yes,High
12.56,511.89,17.38,9.45,31.68,74.49,No,Low
7.73,527.44,12.45,13.71,37.89,74.89,No,Low
69.42,382.83,3.9,4.3,29.25,48.18,Yes,Medium
35.81,509.85,0.0,6.9,33.4,67.98,No,Low
26.62,435.77,14.92,16.17,24.32,73.12,No,High
60.8,406.45,24.76,7.02,28.45,52.95,Yes,Medium
27.89,490.65,20.85,1.66,35.78,55.56,No,Medium
76.52,407.23,15.57,4.65,26.41,68.01,Yes,High
53.56,605.78,19.79,3.31,29.36,37.35,Yes,Medium
30.24,256.16,14.73,9.79,22.13,43.67,No,Low
83.15,348.48,0.7,3.52,40.03,45.15,Yes,High
27.89,387.35,0.79,9.36,36.32,33.06,No,Low
54.84,443.95,12.97,4.32,30.94,76.27,Yes,Medium
45.99,526.8,13.39,0.0,32.54,30.18,No,Medium
66.03,397.56,23.51,9.53,31.98,65.15,Yes,Medium
71.23,257.78,22.57,8.74,36.92,72.18,Yes,High
40.64,484.25,21.05,10.59,27.41,55.6,No,Medium
24.93,475.5,12.2,4.64,33.66,49.97,No,Low
49.2,250.0,1.19,4.1,35.39,63.49,No,Medium
26.45,399.62,19.12,10.01,36.08,60.03,No,Low
80.27,250.0,20.25,15.6,18.7,75.05,Yes,High
42.73,333.53,0.0,8.06,27.0,20.57,No,Medium
32.69,309.72,6.66,10.12,24.9,46.22,No,Low
43.69,480.93,8.09,6.39,30.75,68.42,No,Medium
13.06,411.68,16.18,0.28,19.92,60.76,No,Low
20.57,271.44,6.97,12.84,19.77,71.28,No,Low
64.01,488.01,14.62,12.54,40.85,63.93,Yes,Medium
26.86,256.62,12.89,11.55,33.09,57.98,No,Low
19.06,433.01,13.41,7.09,30.61,55.47,No,Low
50.73,318.6,7.84,10.99,31.82,94.88,Yes,Medium
63.71,363.43,8.61,12.47,30.73,83.02,Yes,Medium
54.38,450.43,4.2,16.1,34.99,67.43,Yes,High
59.92,452.14,18.8,12.94,26.84,61.18,Yes,Medium
24.86,533.7,20.71,8.32,30.93,68.07,No,Medium
11.56,391.77,7.29,1.46,31.14,72.4,No,Low
70.03,430.65,30.21,8.78,24.77,66.28,Yes,High
33.55,356.23,11.85,9.28,36.38,48.73,No,Low
34.98,418.2,30.3,11.55,27.77,86.77,Yes,Medium
66.56,443.95,8.58,14.77,35.09,63.69,Yes,Medium
51.12,390.17,0.0,7.52,30.57,90.21,Yes,Medium
49.12,250.0,19.02,18.5,38.17,62.81,No,High
83.3,433.15,17.49,0.0,24.79,56.32,Yes,High
27.13,436.46,15.34,10.1,24.58,80.76,No,Low
58.56,331.98,8.58,4.01,25.47,64.52,Yes,Medium
41.14,271.56,14.65,0.0,30.67,62.0,No,Medium
45.37,547.59,9.89,6.99,37.71,41.99,No,Medium
70.57,449.14,11.98,0.71,37.97,69.9,Yes,High
50.16,377.09,23.42,7.19,18.45,52.6,Yes,Medium
50.77,286.3,16.84,8.17,31.25,53.28,Yes,Medium
61.45,317.82,21.1,13.59,13.94,52.64,Yes,Medium
32.7,530.26,12.68,0.46,33.98,66.59,No,Low
23.22,413.77,11.58,12.54,35.59,36.97,No,Low
19.1,344.94,3.47,8.49,29.8,56.84,No,Low
0.67,450.97,11.3,13.14,30.42,74.7,No,Low
81.12,318.56,0.0,5.84,30.37,41.31,Yes,High
17.94,550.08,9.1,1.34,26.08,62.59,No,Low
35.57,535.28,14.18,1.91,32.16,50.53,No,Low
34.46,353.34,20.64,1.54,28.84,53.94,No,Medium
46.15,337.13,12.31,10.39,34.65,84.83,No,Medium
56.31,250.0,18.48,15.38,29.43,35.24,Yes,High
57.21,251.84,0.0,5.18,25.69,71.48,Yes,Medium
28.34,266.05,14.43,11.15,22.32,52.83,No,Low
36.66,413.52,0.0,0.38,20.68,52.09,No,Low
45.65,367.38,2.92,8.9,36.56,43.33,No,Medium
35.03,265.47,13.13,11.34,27.71,71.31,No,Low
72.15,371.88,27.76,0.76,31.69,57.13,Yes,High
49.82,450.53,18.71,6.98,38.92,55.23,No,Medium
54.7,452.78,15.18,11.58,27.19,61.65,Yes,Medium
53.26,250.0,14.8,0.0,26.86,57.45,Yes,Medium
63.47,387.17,7.86,14.68,29.34,29.99,Yes,Medium
43.62,261.67,9.56,9.77,30.15,52.64,No,Medium
14.06,490.17,19.27,11.58,39.44,73.43,No,Low
47.99,478.41,1.15,5.94,37.83,37.4,No,Medium
26.97,310.2,20.93,0.0,33.1,43.65,No,Medium
29.43,323.4,11.11,10.67,37.25,53.6,No,Low
51.73,353.87,23.26,7.59,29.11,49.12,Yes,Medium
64.77,250.0,24.61,8.16,31.5,59.58,Yes,Medium
40.43,433.6,0.0,13.44,28.49,43.6,No,Medium
46.18,372.72,9.18,11.81,23.55,54.18,No,Medium
74.04,497.02,6.44,17.61,36.02,59.28,Yes,High
44.82,290.16,0.0,8.77,32.66,69.73,No,Medium
92.03,338.09,4.67,4.54,30.09,78.67,Yes,High
51.31,250.0,39.41,7.06,29.99,56.08,Yes,High
4.78,299.57,21.1,10.08,22.47,88.32,No,Medium
55.07,281.8,34.17,13.08,25.11,57.24,Yes,Medium
47.62,499.6,23.29,0.66,31.68,72.43,No,Medium
65.8,330.17,7.58,8.04,27.35,88.97,Yes,Medium
53.46,412.42,11.18,16.05,28.91,62.09,Yes,High
37.23,361.92,20.88,6.8,29.48,39.4,No,Medium
15.51,273.05,19.38,12.66,26.59,61.36,No,Low
35.82,383.17,9.23,10.47,25.16,50.83,No,Low
22.99,459.91,0.0,12.78,21.94,55.88,No,Low
28.39,279.22,47.88,3.95,29.27,89.77,Yes,High
51.77,480.91,13.59,3.97,33.09,41.66,Yes,Medium
73.4,315.03,11.74,8.1,21.78,64.51,Yes,High
47.89,351.7,16.13,0.34,29.88,46.83,No,Medium
16.08,453.07,12.57,6.65,31.41,55.39,No,Low
48.89,333.66,16.23,9.26,25.05,71.17,No,Medium
63.93,403.76,27.87,16.92,37.11,64.77,Yes,High
27.8,368.53,13.75,10.01,28.07,56.62,No,Low
37.32,412.94,3.37,11.13,29.49,50.25,No,Low
40.29,250.0,13.38,13.82,29.19,64.74,No,Medium
24.3,250.0,10.36,3.18,21.15,85.62,No,Low
52.97,461.6,29.24,7.17,35.04,46.48,Yes,Medium
37.58,503.72,26.71,20.13,25.22,88.67,Yes,High
48.39,308.95,16.08,7.6,28.82,77.99,No,Medium
22.25,375.6,2.21,13.58,32.99,80.54,No,Low
31.25,429.47,2.74,12.82,37.3,64.63,No,Low
54.45,469.32,15.15,0.61,24.6,77.57,Yes,Medium
32.54,250.0,18.36,9.55,27.77,44.87,No,Low
74.54,311.4,11.25,8.73,36.91,49.98,Yes,High
32.01,366.74,10.2,9.65,32.32,71.49,No,Low
44.49,470.31,9.07,4.23,33.36,64.44,No,Medium
58.65,649.84,14.77,2.42,24.74,57.77,Yes,Medium
11.63,377.2,0.0,5.62,28.1,22.46,No,Low
4.78,259.3,3.99,7.51,29.16,53.47,No,Low
9.49,440.23,8.73,13.92,25.71,42.39,No,Low
65.25,532.1,27.08,17.09,21.63,67.4,Yes,High
28.96,410.8,6.86,14.98,27.45,57.13,No,Low
91.16,309.34,16.8,12.3,36.77,50.58,Yes,High
28.72,495.8,17.27,2.98,30.3,99.64,No,Low
43.69,466.35,27.98,5.96,36.87,75.57,Yes,Medium
70.84,297.39,27.63,9.05,30.9,75.84,Yes,High
80.12,438.14,14.42,4.84,26.18,93.03,Yes,High
81.23,499.73,10.25,10.89,36.39,72.03,Yes,High
64.17,518.19,8.36,11.6,31.06,48.44,Yes,Medium
60.48,393.36,12.59,10.68,34.81,46.68,Yes,Medium
51.85,364.19,10.66,13.13,24.66,74.47,Yes,Medium
55.57,522.73,20.54,3.48,35.19,29.11,Yes,Medium
28.98,278.98,19.2,12.66,35.34,58.83,No,Low
23.64,443.86,20.92,4.52,31.45,27.43,No,Medium
39.93,263.0,27.59,3.3,25.97,61.48,Yes,Medium
36.6,506.54,33.63,10.66,29.77,72.81,Yes,Medium
30.94,374.2,16.25,14.08,33.06,64.19,No,Low
53.93,526.86,25.99,10.44,31.17,74.07,Yes,Medium
59.11,449.14,11.48,8.1,33.01,89.47,Yes,Medium
41.77,277.68,26.85,9.55,35.06,57.85,Yes,Medium
69.55,542.46,25.62,8.68,26.76,100.0,Yes,Medium
17.17,555.12,25.08,2.37,24.22,63.19,Yes,Medium
36.13,488.23,15.94,1.79,29.81,74.24,No,Low
25.66,323.84,8.32,7.61,28.35,50.83,No,Low
2.67,369.4,1.05,8.4,33.93,84.29,No,Low
38.35,414.54,14.6,8.06,24.63,75.63,No,Low
37.57,329.63,30.33,11.38,35.1,82.07,Yes,Medium
70.27,569.23,11.9,6.92,36.77,60.82,Yes,High
52.62,414.43,22.85,10.81,30.0,41.17,Yes,Medium
19.52,250.0,23.44,7.28,30.3,66.91,No,Medium
77.08,433.94,12.16,17.12,26.16,34.54,Yes,High
64.42,365.18,28.16,8.4,27.29,54.96,Yes,Medium
51.64,392.51,0.0,19.7,27.96,62.87,Yes,High
35.47,363.14,2.77,9.76,37.21,95.66,No,Low
20.81,480.7,5.84,6.93,29.64,64.78,No,Low
32.56,511.97,6.8,3.5,23.39,62.09,No,Low
61.77,428.31,18.36,0.79,31.28,59.05,Yes,Medium
77.69,366.07,17.9,3.04,34.13,39.87,Yes,High
70.86,395.87,18.94,3.6,29.87,61.29,Yes,High
30.22,401.96,20.96,9.97,37.35,61.54,No,Medium
17.61,319.76,5.5,5.37,33.89,45.47,No,Low
42.82,457.89,2.82,8.93,24.75,42.2,No,Medium
4.63,446.0,18.96,14.41,27.24,52.78,No,Low
46.46,554.04,8.7,7.56,31.13,60.97,No,Medium
37.05,525.53,0.0,18.4,21.67,53.14,No,High
30.68,331.43,24.71,2.12,31.68,44.24,No,Medium
8.11,482.03,28.95,7.25,21.19,64.34,Yes,Medium
50.27,304.9,30.57,5.3,35.12,68.08,Yes,Medium
29.35,469.59,16.87,12.68,34.54,61.82,No,Low
16.6,348.34,21.26,0.0,32.52,51.56,No,Medium
0.0,297.67,28.7,0.78,26.62,68.92,Yes,Medium
39.45,428.0,8.59,7.46,30.85,57.14,No,Low
75.45,250.0,26.11,15.76,27.43,42.16,Yes,High
73.23,250.0,17.75,9.13,24.85,75.54,Yes,High
30.86,382.25,24.14,1.24,28.31,65.3,No,Medium
27.96,408.24,16.86,2.01,33.49,58.21,No,Low
49.38,363.07,27.96,16.36,30.22,36.43,Yes,High
20.03,250.0,17.24,4.89,37.25,48.83,No,Low
46.04,318.21,0.16,3.29,33.83,90.28,No,Medium
55.32,439.12,29.52,15.39,33.29,37.37,Yes,High
64.54,458.18,5.52,13.06,21.96,56.23,Yes,Medium
38.0,398.38,27.53,14.37,28.57,59.75,Yes,Medium
35.93,515.68,14.1,3.25,24.68,64.81,No,Low
22.44,439.74,26.76,0.37,29.08,37.54,Yes,Medium
23.46,325.25,26.35,8.67,26.53,62.61,Yes,Medium
35.47,371.95,19.3,9.68,28.11,34.71,No,Low
47.35,259.71,20.09,9.82,35.31,61.46,No,Medium
58.27,389.19,19.23,15.39,32.38,50.21,Yes,High
23.94,511.21,0.0,0.0,35.04,47.01,No,Low
69.85,468.53,16.18,12.3,22.0,72.52,Yes,Medium
34.58,540.2,3.84,2.52,30.29,56.47,No,Low
39.57,369.71,16.71,12.28,34.83,67.11,No,Low
25.06,534.61,3.57,5.63,37.53,67.6,No,Low
0.0,380.67,3.15,3.93,22.26,79.05,No,Low
57.68,547.16,31.05,4.95,28.24,41.88,Yes,Medium
54.74,397.81,25.69,0.77,35.17,73.79,Yes,Medium
34.37,470.72,14.96,8.2,29.04,60.25,No,Low
41.34,547.51,16.85,4.14,25.45,54.33,No,Medium
50.32,380.66,12.52,11.93,22.25,42.76,Yes,Medium
8.75,421.84,20.7,11.2,25.26,69.1,No,Medium
29.42,528.89,8.24,16.44,21.56,46.17,No,High
55.89,386.7,24.94,9.83,30.29,67.77,Yes,Medium
14.91,267.91,12.47,10.6,34.48,88.92,No,Low
45.87,614.3,10.8,15.0,23.7,74.7,No,High
12.87,353.02,15.22,4.86,31.29,80.87,No,Low
49.33,415.88,9.09,0.56,34.23,49.21,No,Medium
39.29,515.6,18.29,9.0,29.99,71.44,No,Low
7.7,339.15,9.63,0.89,21.95,42.84,No,Low
63.29,299.21,19.69,20.27,31.93,56.5,Yes,High
25.31,425.37,27.16,15.28,29.73,86.12,Yes,High
23.79,250.0,7.81,18.82,29.22,50.88,No,High
44.01,371.21,13.69,8.31,27.27,76.67,No,Medium
62.97,424.5,19.61,10.75,30.43,75.23,Yes,Medium
19.68,373.0,10.64,5.7,32.55,76.12,No,Low
41.23,250.0,19.64,12.41,41.95,40.99,No,Medium
48.58,559.42,20.55,1.92,30.56,67.88,No,Medium
53.86,410.35,25.83,0.0,37.56,57.65,Yes,Medium
43.53,543.12,8.94,4.05,31.79,76.33,No,Medium
32.66,374.0,5.57,0.72,29.5,35.17,No,Low
23.45,312.0,11.92,15.39,30.74,65.52,No,High
41.72,426.92,5.32,17.08,23.89,63.4,No,High
18.56,378.42,20.64,0.99,31.53,30.15,No,Medium
0.0,282.22,3.38,14.46,20.04,46.72,No,Low
48.73,546.98,38.33,12.76,25.69,32.55,Yes,High
58.08,337.77,27.96,0.15,30.55,49.1,Yes,Medium
0.0,250.0,15.13,6.05,35.97,68.24,No,Low
19.81,532.82,23.67,5.1,37.15,62.93,No,Medium
52.38,349.57,0.0,11.74,28.82,62.54,Yes,Medium
81.15,339.22,40.23,1.86,30.78,44.4,Yes,High
40.42,250.0,9.1,7.51,34.92,76.81,No,Medium
25.44,574.09,13.8,4.57,23.35,59.72,No,Low
36.34,271.05,0.0,10.37,32.02,60.51,No,Low
67.5,405.84,19.86,6.92,25.86,74.11,Yes,Medium
27.08,491.26,3.94,5.32,29.14,45.13,No,Low
24.02,442.17,16.02,6.93,27.7,63.43,No,Low
30.35,394.03,9.56,18.18,32.18,66.35,No,High
